rank,resume_id,similarity_score,shortlist_category
1,R197,0.20191901741682394,Strong Match
2,R194,0.20191901741682394,Strong Match
3,R195,0.20191901741682394,Strong Match
4,R196,0.20191901741682394,Strong Match
5,R193,0.20191901741682394,Strong Match
6,R027,0.20191901741682394,Strong Match
7,R030,0.20191901741682394,Strong Match
8,R029,0.20191901741682394,Strong Match
9,R077,0.20191901741682394,Strong Match
10,R078,0.20191901741682394,Strong Match
11,R074,0.20191901741682394,Strong Match
12,R018,0.20191901741682394,Strong Match
13,R020,0.20191901741682394,Strong Match
14,R042,0.20191901741682394,Strong Match
15,R041,0.20191901741682394,Strong Match
16,R046,0.20191901741682394,Strong Match
17,R040,0.20191901741682394,Strong Match
18,R038,0.20191901741682394,Strong Match
19,R037,0.20191901741682394,Strong Match
20,R036,0.20191901741682394,Strong Match
21,R043,0.20191901741682394,Strong Match
22,R057,0.20191901741682394,Strong Match
23,R063,0.20191901741682394,Strong Match
24,R065,0.20191901741682394,Strong Match
25,R056,0.20191901741682394,Strong Match
26,R055,0.20191901741682394,Strong Match
27,R049,0.20191901741682394,Strong Match
28,R075,0.20191901741682394,Strong Match
29,R068,0.20191901741682394,Strong Match
30,R069,0.20191901741682394,Strong Match
31,R070,0.20191901741682394,Strong Match
32,R072,0.20191901741682394,Strong Match
33,R060,0.20191901741682394,Strong Match
34,R064,0.20191901741682394,Strong Match
35,R052,0.20191901741682394,Strong Match
36,R180,0.20191901741682394,Strong Match
37,R177,0.20191901741682394,Strong Match
38,R181,0.20191901741682394,Strong Match
39,R189,0.20191901741682394,Strong Match
40,R192,0.20191901741682394,Strong Match
41,R155,0.20191901741682394,Strong Match
42,R156,0.20191901741682394,Strong Match
43,R146,0.20191901741682394,Strong Match
44,R145,0.20191901741682394,Strong Match
45,R148,0.20191901741682394,Strong Match
46,R147,0.20191901741682394,Strong Match
47,R115,0.20191901741682394,Strong Match
48,R114,0.20191901741682394,Strong Match
49,R135,0.20191901741682394,Strong Match
50,R134,0.20191901741682394,Strong Match
51,R133,0.20191901741682394,Strong Match
52,R131,0.20191901741682394,Strong Match
53,R130,0.20191901741682394,Strong Match
54,R137,0.20191901741682394,Strong Match
55,R139,0.20191901741682394,Strong Match
56,R143,0.20191901741682394,Strong Match
57,R128,0.20191901741682394,Strong Match
58,R126,0.20191901741682394,Strong Match
59,R123,0.20191901741682394,Strong Match
60,R117,0.20191901741682394,Strong Match
61,R097,0.20191901741682394,Strong Match
62,R101,0.20191901741682394,Strong Match
63,R102,0.20191901741682394,Strong Match
64,R104,0.20191901741682394,Strong Match
65,R106,0.20191901741682394,Strong Match
66,R087,0.20191901741682394,Strong Match
67,R083,0.20191901741682394,Strong Match
68,R086,0.20191901741682394,Strong Match
69,R090,0.20191901741682394,Strong Match
70,R093,0.20191901741682394,Strong Match
71,R094,0.20191901741682394,Strong Match
72,R096,0.20191901741682394,Strong Match
73,R174,0.20191901741682394,Strong Match
74,R169,0.20191901741682394,Strong Match
75,R165,0.20191901741682394,Strong Match
76,R006,0.20191901741682394,Strong Match
77,R014,0.20191901741682394,Strong Match
78,R163,0.20191901741682394,Strong Match
79,R166,0.20191901741682394,Strong Match
80,R178,0.20191901741682394,Strong Match
81,R012,0.20191901741682394,Strong Match
82,R008,0.20191901741682394,Strong Match
83,R003,0.20191901741682394,Strong Match
84,R013,0.20191901741682394,Strong Match
85,R183,0.20191901741682394,Strong Match
86,R010,0.20191901741682394,Strong Match
87,R080,0.195519580356472,Moderate Match
88,R073,0.195519580356472,Moderate Match
89,R066,0.195519580356472,Moderate Match
90,R067,0.195519580356472,Moderate Match
91,R071,0.195519580356472,Moderate Match
92,R021,0.195519580356472,Moderate Match
93,R023,0.195519580356472,Moderate Match
94,R024,0.195519580356472,Moderate Match
95,R026,0.195519580356472,Moderate Match
96,R025,0.195519580356472,Moderate Match
97,R044,0.195519580356472,Moderate Match
98,R048,0.195519580356472,Moderate Match
99,R047,0.195519580356472,Moderate Match
100,R045,0.195519580356472,Moderate Match
101,R039,0.195519580356472,Moderate Match
102,R035,0.195519580356472,Moderate Match
103,R034,0.195519580356472,Moderate Match
104,R033,0.195519580356472,Moderate Match
105,R028,0.195519580356472,Moderate Match
106,R032,0.195519580356472,Moderate Match
107,R200,0.195519580356472,Moderate Match
108,R199,0.195519580356472,Moderate Match
109,R198,0.195519580356472,Moderate Match
110,R079,0.195519580356472,Moderate Match
111,R076,0.195519580356472,Moderate Match
112,R050,0.195519580356472,Moderate Match
113,R058,0.195519580356472,Moderate Match
114,R059,0.195519580356472,Moderate Match
115,R062,0.195519580356472,Moderate Match
116,R061,0.195519580356472,Moderate Match
117,R053,0.195519580356472,Moderate Match
118,R054,0.195519580356472,Moderate Match
119,R051,0.195519580356472,Moderate Match
120,R031,0.195519580356472,Moderate Match
121,R017,0.195519580356472,Moderate Match
122,R019,0.195519580356472,Moderate Match
123,R022,0.195519580356472,Moderate Match
124,R100,0.195519580356472,Moderate Match
125,R109,0.195519580356472,Moderate Match
126,R108,0.195519580356472,Moderate Match
127,R107,0.195519580356472,Moderate Match
128,R103,0.195519580356472,Moderate Match
129,R098,0.195519580356472,Moderate Match
130,R099,0.195519580356472,Moderate Match
131,R081,0.195519580356472,Moderate Match
132,R082,0.195519580356472,Moderate Match
133,R089,0.195519580356472,Moderate Match
134,R091,0.195519580356472,Moderate Match
135,R092,0.195519580356472,Moderate Match
136,R095,0.195519580356472,Moderate Match
137,R129,0.195519580356472,Moderate Match
138,R132,0.195519580356472,Moderate Match
139,R136,0.195519580356472,Moderate Match
140,R144,0.195519580356472,Moderate Match
141,R141,0.195519580356472,Moderate Match
142,R142,0.195519580356472,Moderate Match
143,R140,0.195519580356472,Moderate Match
144,R138,0.195519580356472,Moderate Match
145,R121,0.195519580356472,Moderate Match
146,R122,0.195519580356472,Moderate Match
147,R124,0.195519580356472,Moderate Match
148,R120,0.195519580356472,Moderate Match
149,R118,0.195519580356472,Moderate Match
150,R119,0.195519580356472,Moderate Match
151,R116,0.195519580356472,Moderate Match
152,R113,0.195519580356472,Moderate Match
153,R127,0.195519580356472,Moderate Match
154,R125,0.195519580356472,Moderate Match
155,R084,0.195519580356472,Moderate Match
156,R085,0.195519580356472,Moderate Match
157,R088,0.195519580356472,Moderate Match
158,R112,0.195519580356472,Moderate Match
159,R110,0.195519580356472,Moderate Match
160,R111,0.195519580356472,Moderate Match
161,R105,0.195519580356472,Moderate Match
162,R151,0.195519580356472,Moderate Match
163,R152,0.195519580356472,Moderate Match
164,R158,0.195519580356472,Moderate Match
165,R153,0.195519580356472,Moderate Match
166,R154,0.195519580356472,Moderate Match
167,R160,0.195519580356472,Moderate Match
168,R159,0.195519580356472,Moderate Match
169,R161,0.195519580356472,Moderate Match
170,R162,0.195519580356472,Moderate Match
171,R164,0.195519580356472,Moderate Match
172,R168,0.195519580356472,Moderate Match
173,R167,0.195519580356472,Moderate Match
174,R172,0.195519580356472,Moderate Match
175,R171,0.195519580356472,Moderate Match
176,R170,0.195519580356472,Moderate Match
177,R176,0.195519580356472,Moderate Match
178,R175,0.195519580356472,Moderate Match
179,R173,0.195519580356472,Moderate Match
180,R157,0.195519580356472,Moderate Match
181,R149,0.195519580356472,Moderate Match
182,R150,0.195519580356472,Moderate Match
183,R185,0.195519580356472,Moderate Match
184,R191,0.195519580356472,Moderate Match
185,R179,0.195519580356472,Moderate Match
186,R182,0.195519580356472,Moderate Match
187,R184,0.195519580356472,Moderate Match
188,R190,0.195519580356472,Moderate Match
189,R188,0.195519580356472,Moderate Match
190,R187,0.195519580356472,Moderate Match
191,R186,0.195519580356472,Moderate Match
192,R016,0.195519580356472,Moderate Match
193,R009,0.195519580356472,Moderate Match
194,R011,0.195519580356472,Moderate Match
195,R015,0.195519580356472,Moderate Match
196,R007,0.195519580356472,Moderate Match
197,R005,0.195519580356472,Moderate Match
198,R004,0.195519580356472,Moderate Match
199,R002,0.195519580356472,Moderate Match
200,R001,0.195519580356472,Moderate Match
201,R349,0.17665315811714818,Weak Match
202,R348,0.17665315811714818,Weak Match
203,R347,0.17665315811714818,Weak Match
204,R210,0.17665315811714818,Weak Match
205,R215,0.17665315811714818,Weak Match
206,R216,0.17665315811714818,Weak Match
207,R204,0.17665315811714818,Weak Match
208,R202,0.17665315811714818,Weak Match
